# SENSeOR HTR02: Temperature and Parial Discharge Monitoring of Electrical Equipment (Switchgears)
#
DataObjectName;Activated;RegisterType;RegisterNumber;DataType;Unit;DataFormatOnBus;BitOffset;ScalingFactor;ScalingOffset
GrpB_Sens2_Overheat_alrt;1;Input;23;Indication;;1Bit;6;0;0
GrpB_Sens2_Deviation_warn;1;Input;23;Indication;;1Bit;7;0;0
GrpB_Sens2_Deviation_alrt;1;Input;23;Indication;;1Bit;8;0;0
GrpB_Sens2_RF_link_alrt;1;Input;23;Indication;;1Bit;9;0;0
GrpB_Sens3_Overheat_warn;1;Input;23;Indication;;1Bit;10;0;0
GrpB_Sens3_Overheat_alrt;1;Input;23;Indication;;1Bit;11;0;0
GrpB_Sens3_Deviation_warn;1;Input;23;Indication;;1Bit;12;0;0
GrpB_Sens3_Deviation_alrt;1;Input;23;Indication;;1Bit;13;0;0
GrpB_Sens3_RF_link_alrt;1;Input;23;Indication;;1Bit;14;0;0
#
GrpC_MeanTemp;1;Input;25;MV;degC;Int16;0;0.1;0.0
GrpC_Sens1_Overheat_warn;1;Input;26;Indication;;1Bit;0;0;0
GrpC_Sens1_Overheat_alrt;1;Input;26;Indication;;1Bit;1;0;0
GrpC_Sens1_Deviation_warn;1;Input;26;Indication;;1Bit;2;0;0
GrpC_Sens1_Deviation_alrt;1;Input;26;Indication;;1Bit;3;0;0
GrpC_Sens1_RF_link_alrt;1;Input;26;Indication;;1Bit;4;0;0
GrpC_Sens2_Overheat_warn;1;Input;26;Indication;;1Bit;5;0;0
GrpC_Sens2_Overheat_alrt;1;Input;26;Indication;;1Bit;6;0;0
GrpC_Sens2_Deviation_warn;1;Input;26;Indication;;1Bit;7;0;0
GrpC_Sens2_Deviation_alrt;1;Input;26;Indication;;1Bit;8;0;0
GrpC_Sens2_RF_link_alrt;1;Input;26;Indication;;1Bit;9;0;0
GrpC_Sens3_Overheat_warn;1;Input;26;Indication;;1Bit;10;0;0
GrpC_Sens3_Overheat_alrt;1;Input;26;Indication;;1Bit;11;0;0
GrpC_Sens3_Deviation_warn;1;Input;26;Indication;;1Bit;12;0;0
GrpC_Sens3_Deviation_alrt;1;Input;26;Indication;;1Bit;13;0;0
GrpC_Sens3_RF_link_alrt;1;Input;26;Indication;;1Bit;14;0;0
#
GrpD_MeanTemp;1;Input;28;MV;degC;Int16;0;0.1;0.0
GrpD_Sens1_Overheat_warn;1;Input;29;Indication;;1Bit;0;0;0
GrpD_Sens1_Overheat_alrt;1;Input;29;Indication;;1Bit;1;0;0
GrpD_Sens1_Deviation_warn;1;Input;29;Indication;;1Bit;2;0;0
GrpD_Sens1_Deviation_alrt;1;Input;29;Indication;;1Bit;3;0;0
GrpD_Sens1_RF_link_alrt;1;Input;29;Indication;;1Bit;4;0;0
GrpD_Sens2_Overheat_warn;1;Input;29;Indication;;1Bit;5;0;0
GrpD_Sens2_Overheat_alrt;1;Input;29;Indication;;1Bit;6;0;0
GrpD_Sens2_Deviation_warn;1;Input;29;Indication;;1Bit;7;0;0
GrpD_Sens2_Deviation_alrt;1;Input;29;Indication;;1Bit;8;0;0
GrpD_Sens2_RF_link_alrt;1;Input;29;Indication;;1Bit;9;0;0
GrpD_Sens3_Overheat_warn;1;Input;29;Indication;;1Bit;10;0;0
GrpD_Sens3_Overheat_alrt;1;Input;29;Indication;;1Bit;11;0;0
GrpD_Sens3_Deviation_warn;1;Input;29;Indication;;1Bit;12;0;0
GrpD_Sens3_Deviation_alrt;1;Input;29;Indication;;1Bit;13;0;0
GrpD_Sens3_RF_link_alrt;1;Input;29;Indication;;1Bit;14;0;0
#
GrpE_MeanTemp;1;Input;31;MV;degC;Int16;0;0.1;0.0
GrpE_Sens1_Overheat_warn;1;Input;32;Indication;;1Bit;0;0;0
GrpE_Sens1_Overheat_alrt;1;Input;32;Indication;;1Bit;1;0;0
GrpE_Sens1_Deviation_warn;1;Input;32;Indication;;1Bit;2;0;0
GrpE_Sens1_Deviation_alrt;1;Input;32;Indication;;1Bit;3;0;0
GrpE_Sens1_RF_link_alrt;1;Input;32;Indication;;1Bit;4;0;0
GrpE_Sens2_Overheat_warn;1;Input;32;Indication;;1Bit;5;0;0
GrpE_Sens2_Overheat_alrt;1;Input;32;Indication;;1Bit;6;0;0
GrpE_Sens2_Deviation_warn;1;Input;32;Indication;;1Bit;7;0;0
GrpE_Sens2_Deviation_alrt;1;Input;32;Indication;;1Bit;8;0;0
GrpE_Sens2_RF_link_alrt;1;Input;32;Indication;;1Bit;9;0;0
GrpE_Sens3_Overheat_warn;1;Input;32;Indication;;1Bit;10;0;0
GrpE_Sens3_Overheat_alrt;1;Input;32;Indication;;1Bit;11;0;0
GrpE_Sens3_Deviation_warn;1;Input;32;Indication;;1Bit;12;0;0
GrpE_Sens3_Deviation_alrt;1;Input;32;Indication;;1Bit;13;0;0
GrpE_Sens3_RF_link_alrt;1;Input;32;Indication;;1Bit;14;0;0
#
GrpF_MeanTemp;1;Input;34;MV;degC;Int16;0;0.1;0.0
GrpF_Sens1_Overheat_warn;1;Input;35;Indication;;1Bit;0;0;0
GrpF_Sens1_Overheat_alrt;1;Input;35;Indication;;1Bit;1;0;0
GrpF_Sens1_Deviation_warn;1;Input;35;Indication;;1Bit;2;0;0
GrpF_Sens1_Deviation_alrt;1;Input;35;Indication;;1Bit;3;0;0
GrpF_Sens1_RF_link_alrt;1;Input;35;Indication;;1Bit;4;0;0
GrpF_Sens2_Overheat_warn;1;Input;35;Indication;;1Bit;5;0;0
GrpF_Sens2_Overheat_alrt;1;Input;35;Indication;;1Bit;6;0;0
GrpF_Sens2_Deviation_warn;1;Input;35;Indication;;1Bit;7;0;0
GrpF_Sens2_Deviation_alrt;1;Input;35;Indication;;1Bit;8;0;0
GrpF_Sens2_RF_link_alrt;1;Input;35;Indication;;1Bit;9;0;0
GrpF_Sens3_Overheat_warn;1;Input;35;Indication;;1Bit;10;0;0
GrpF_Sens3_Overheat_alrt;1;Input;35;Indication;;1Bit;11;0;0
GrpF_Sens3_Deviation_warn;1;Input;35;Indication;;1Bit;12;0;0
GrpF_Sens3_Deviation_alrt;1;Input;35;Indication;;1Bit;13;0;0
GrpF_Sens3_RF_link_alrt;1;Input;35;Indication;;1Bit;14;0;0
#
# Environmental Data
Ambient_Temp;1;Input;37;MV;degC;Int16;0;0.1;0.0
Ambient_Humidity;1;Input;38;MV;%rH;UInt16;0;0.1;0.0
Ambient_DewPoint;1;Input;39;MV;degC;Int16;0;0.1;0.0
#
# Probe Antenna Alarms and Measurements
Antenna1_LFB_ratio_warn;1;Input;1000;Indication;;1Bit;0;0;0
Antenna1_LFB_ratio_alrm;1;Input;1000;Indication;;1Bit;1;0;0
Antenna1_LFB_EPPC_warn;1;Input;1000;Indication;;1Bit;2;0;0
Antenna1_LFB_EPPC_alrm;1;Input;1000;Indication;;1Bit;3;0;0
Antenna1_MFB_ratio_warn;1;Input;1000;Indication;;1Bit;4;0;0
Antenna1_MFB_ratio_alrm;1;Input;1000;Indication;;1Bit;5;0;0
Antenna1_MFB_EPPC_warn;1;Input;1000;Indication;;1Bit;6;0;0
Antenna1_MFB_EPPC_alrm;1;Input;1000;Indication;;1Bit;7;0;0
Antenna1_HFB_ratio_warn;1;Input;1000;Indication;;1Bit;8;0;0
Antenna1_HFB_ratio_alrm;1;Input;1000;Indication;;1Bit;9;0;0
Antenna1_HFB_EPPC_warn;1;Input;1000;Indication;;1Bit;10;0;0
Antenna1_HFB_EPPC_alrm;1;Input;1000;Indication;;1Bit;11;0;0
Antenna1_LFB_ratio;1;Input;1001;MV;dB;UInt16;0;0.1;0.0
Antenna1_LFB_EPPC;1;Input;1002;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna1_MFB_ratio;1;Input;1004;MV;dB;UInt16;0;0.1;0.0
Antenna1_MFB_EPPC;1;Input;1005;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna1_HFB_ratio;1;Input;1007;MV;dB;UInt16;0;0.1;0.0
Antenna1_HFB_EPPC;1;Input;1008;MV;peaks/cycle;UInt16;0;0.1;0.0
#
Antenna2_LFB_ratio_warn;1;Input;1013;Indication;;1Bit;0;0;0
Antenna2_LFB_ratio_alrm;1;Input;1013;Indication;;1Bit;1;0;0
Antenna2_LFB_EPPC_warn;1;Input;1013;Indication;;1Bit;2;0;0
Antenna2_LFB_EPPC_alrm;1;Input;1013;Indication;;1Bit;3;0;0
Antenna2_MFB_ratio_warn;1;Input;1013;Indication;;1Bit;4;0;0
Antenna2_MFB_ratio_alrm;1;Input;1013;Indication;;1Bit;5;0;0
Antenna2_MFB_EPPC_warn;1;Input;1013;Indication;;1Bit;6;0;0
Antenna2_MFB_EPPC_alrm;1;Input;1013;Indication;;1Bit;7;0;0
Antenna2_HFB_ratio_warn;1;Input;1013;Indication;;1Bit;8;0;0
Antenna2_HFB_ratio_alrm;1;Input;1013;Indication;;1Bit;9;0;0
Antenna2_HFB_EPPC_warn;1;Input;1013;Indication;;1Bit;10;0;0
Antenna2_HFB_EPPC_alrm;1;Input;1013;Indication;;1Bit;11;0;0
Antenna2_LFB_ratio;1;Input;1014;MV;dB;UInt16;0;0.1;0.0
Antenna2_LFB_EPPC;1;Input;1015;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna2_MFB_ratio;1;Input;1017;MV;dB;UInt16;0;0.1;0.0
Antenna2_MFB_EPPC;1;Input;1018;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna2_HFB_ratio;1;Input;1020;MV;dB;UInt16;0;0.1;0.0
Antenna2_HFB_EPPC;1;Input;1021;MV;peaks/cycle;UInt16;0;0.1;0.0
#
Antenna3_LFB_ratio_warn;1;Input;1026;Indication;;1Bit;0;0;0
Antenna3_LFB_ratio_alrm;1;Input;1026;Indication;;1Bit;1;0;0
Antenna3_LFB_EPPC_warn;1;Input;1026;Indication;;1Bit;2;0;0
Antenna3_LFB_EPPC_alrm;1;Input;1026;Indication;;1Bit;3;0;0
Antenna3_MFB_ratio_warn;1;Input;1026;Indication;;1Bit;4;0;0
Antenna3_MFB_ratio_alrm;1;Input;1026;Indication;;1Bit;5;0;0
Antenna3_MFB_EPPC_warn;1;Input;1026;Indication;;1Bit;6;0;0
Antenna3_MFB_EPPC_alrm;1;Input;1026;Indication;;1Bit;7;0;0
Antenna3_HFB_ratio_warn;1;Input;1026;Indication;;1Bit;8;0;0
Antenna3_HFB_ratio_alrm;1;Input;1026;Indication;;1Bit;9;0;0
Antenna3_HFB_EPPC_warn;1;Input;1026;Indication;;1Bit;10;0;0
Antenna3_HFB_EPPC_alrm;1;Input;1026;Indication;;1Bit;11;0;0
Antenna3_LFB_ratio;1;Input;1027;MV;dB;UInt16;0;0.1;0.0
Antenna3_LFB_EPPC;1;Input;1028;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna3_MFB_ratio;1;Input;1029;MV;dB;UInt16;0;0.1;0.0
Antenna3_MFB_EPPC;1;Input;1030;MV;peaks/cycle;UInt16;0;0.1;0.0
Antenna3_HFB_ratio;1;Input;1031;MV;dB;UInt16;0;0.1;0.0
Antenna3_HFB_EPPC;1;Input;1032;MV;peaks/cycle;UInt16;0;0.1;0.0
